imdb_title_id,genre,year
tt0018192,"Biography, Drama, History",1927
tt0018217,"Drama, History",1927
tt0018218,"Drama, History, Romance",1927
tt0018235,"Comedy, Romance",1927
tt0018247,"Comedy, Romance",1927
tt0018253,"Drama, Romance, Sport",1927
tt0018268,Comedy,1927
tt0018297,"Comedy, Drama, Romance",1927
tt0018311,"Comedy, Romance",1927
tt0018328,"Drama, Romance, Sport",1927
tt0018351,Comedy,1927
tt0018362,"Crime, Drama, Romance",1927
tt0018379,"Drama, Romance",1927
tt0018389,Drama,1928
tt0018392,"Drama, Romance",1928
tt0018397,"Crime, Drama",1927
tt0018413,"Comedy, Sport",1927
tt0018440,Comedy,1927
tt0018451,"Drama, Romance",1927
tt0018453,Thriller,1927
tt0018455,"Drama, Romance",1927
tt0018464,"Action, Adventure",1927
tt0018471,"Comedy, Drama, Romance",1926
tt0018484,"Comedy, Drama",1927
tt0018487,"Comedy, Drama",1927
tt0018505,"Comedy, Drama",1927
tt0018513,Drama,1927
tt0018515,"Adventure, Comedy, Romance",1927
tt0018523,Comedy,1928
tt0018524,"Drama, History",1927
tt0018526,"Crime, Drama, Film-Noir",1927
tt0018528,"Drama, Horror, Romance",1927
tt0018530,"Comedy, Drama",1927
tt0018566,"History, Romance",1927
tt0018578,"Drama, Romance, War",1927
tt0018579,"Drama, History, War",1927
tt0018588,Drama,1929
tt0018600,"Drama, Romance",1927
tt0018615,"Drama, Romance",1928
tt0018618,"Drama, Romance",1928
tt0018678,Comedy,1928
tt0018684,"Adventure, Drama",1928
tt0018722,Comedy,1928
tt0018737,"Crime, Drama, Romance",1929
tt0018742,"Comedy, Drama, Family",1928
tt0018749,"Comedy, Romance",1928
tt0018756,Comedy,1928
tt0018770,Horror,1928
tt0018773,"Comedy, Romance",1928
tt0018795,Drama,1928
tt0018826,Comedy,1928
tt0018836,"Drama, Romance",1928
tt0018839,"Crime, Drama, Film-Noir",1928
tt0018841,Comedy,1928
tt0018862,"Drama, Romance, War",1928
tt0018876,"Comedy, Drama, Romance",1928
tt0018879,"Drama, Romance",1928
tt0018882,Comedy,1928
tt0018907,Drama,1928
tt0018908,"Adventure, Drama, Romance",1929
tt0018909,"Drama, War",1928
tt0018910,Drama,1928
tt0018927,"Comedy, Drama",1928
tt0018935,Drama,1928
tt0018937,"Action, Adventure, Comedy",1928
tt0018972,"Drama, Romance, Thriller",1928
tt0018990,"Drama, Romance, War",1928
tt0018996,Sci-Fi,1929
tt0019043,Drama,1928
tt0019067,"Comedy, Drama, Romance",1928
tt0019071,"Drama, History, Romance",1928
tt0019074,Drama,1928
tt0019096,"Crime, Drama, Music",1928
tt0019098,"Drama, Romance, War",1928
tt0019109,"Comedy, Drama, Romance",1928
tt0019127,Drama,1928
tt0019130,"Drama, Horror, Mystery",1928
tt0019151,"Comedy, Romance",1928
tt0019152,Drama,1928
tt0019182,Drama,1927
tt0019186,Drama,1928
tt0019195,"Drama, Romance",1928
tt0019237,Drama,1928
tt0019254,"Biography, Drama, History",1928
tt0019258,"Comedy, Drama, Romance",1928
tt0019286,"Drama, War",1928
tt0019290,Drama,1928
tt0019304,"Crime, Drama, Film-Noir",1928
tt0019312,"Drama, Romance",1928
tt0019325,"Comedy, Drama",1928
tt0019335,Drama,1928
tt0019344,Drama,1928
tt0019374,"Drama, History, Romance",1928
tt0019379,"Comedy, Romance",1928
tt0019388,"Musical, Drama",1928
tt0019400,"Comedy, Romance, Sport",1928
tt0019412,"Action, Comedy, Family",1928
tt0019415,"Romance, Thriller",1928
tt0019421,"Action, Comedy, Drama",1928
tt0019429,Drama,1928
tt0019434,"Action, Adventure, Drama",1928
tt0019451,"Drama, Romance",1928
tt0019462,"Comedy, Drama, Romance",1928
tt0019480,Comedy,1928
tt0019489,"Action, Adventure, Drama",1928
tt0019509,"Drama, Romance",1928
tt0019532,"Action, Adventure, History",1928
tt0019553,Drama,1927
tt0019557,"Drama, Romance",1929
tt0019558,Drama,1928
tt0019563,"Drama, Mystery",1928
tt0019571,"Crime, Drama",1928
tt0019574,"Drama, Romance",1928
tt0019585,"Drama, Romance, Thriller",1928
tt0019591,Drama,1928
tt0019609,Drama,1929
tt0019611,"Drama, Fantasy",1928
tt0019629,Drama,1930
tt0019630,Crime,1929
tt0019644,"Drama, Musical",1929
tt0019646,"Drama, Romance",1928
tt0019649,"Drama, War",1929
tt0019655,"Crime, Drama, Romance",1929
tt0019658,Drama,1929
tt0019684,Mystery,1929
tt0019690,"Comedy, Crime, Mystery",1929
tt0019699,"Adventure, Drama",1929
tt0019702,"Crime, Thriller",1929
tt0019725,"Crime, Music, Romance",1929
tt0019726,"Drama, Musical",1929
tt0019729,"Drama, Musical, Romance",1929
tt0019735,"Drama, Mystery, Thriller",1929
tt0019745,"Crime, Drama, Mystery",1929
tt0019746,"Adventure, Drama",1929
tt0019777,"Comedy, Musical",1929
tt0019785,Drama,1929
tt0019788,"Drama, Romance",1929
tt0019796,Comedy,1929
tt0019798,"Drama, Musical, Romance",1929
tt0019800,Drama,1929
tt0019811,"Adventure, Drama, Romance",1929
tt0019815,"Music, Romance, War",1929
tt0019823,"Biography, Drama, History",1929
tt0019824,"Drama, History, Romance",1928
tt0019839,"Comedy, Drama, Romance",1929
tt0019843,Drama,1929
tt0019850,"Drama, Romance",1929
tt0019852,"Drama, Romance",1929
tt0019856,Drama,1929
tt0019884,"Action, Adventure, Romance",1929
tt0019886,"Adventure, Drama, Romance",1929
tt0019889,"Crime, Drama",1929
tt0019901,"Comedy, Drama, Romance",1929
tt0019909,Drama,1929
tt0019929,Comedy,1929
tt0019933,"Comedy, Drama, Musical",1929
tt0019935,Drama,1928
tt0019936,"Comedy, Musical",1929
tt0019939,Drama,1929
tt0019945,"Action, Romance, Western",1929
tt0019946,"Drama, Musical, Romance",1929
tt0019949,"Drama, Mystery",1929
tt0019957,"Drama, Romance",1929
tt0019959,"Drama, Musical",1929
tt0019976,"Action, Crime, Drama",1929
tt0019979,Drama,1929
tt0019983,"Crime, Drama, Romance",1929
tt0019992,"Drama, Mystery",1929
tt0019993,"Comedy, Music",1929
tt0020004,"Comedy, Crime, Drama",1929
tt0020011,Drama,1929
tt0020014,Comedy,1929
tt0020018,"Action, Adventure, Romance",1928
tt0020025,Drama,1929
tt0020030,"Adventure, Drama, History",1929
tt0020034,"Comedy, Musical, Romance",1929
tt0020062,"Romance, Drama",1929
tt0020075,"Drama, Romance",1929
tt0020078,"Drama, Horror, Romance",1929
tt0020080,"Horror, Mystery, Thriller",1928
tt0020081,"Comedy, Drama",1929
tt0020092,Drama,1929
tt0020099,Drama,1929
tt0020103,"Drama, Mystery, Thriller",1929
tt0020112,"Comedy, Musical, Romance",1929
tt0020114,Comedy,1929
tt0020122,"Drama, Romance",1929
tt0020126,Drama,1929
tt0020142,"Drama, Romance",1929
tt0020143,"Drama, Musical, Romance",1929
tt0020144,Drama,1929
tt0020163,"Comedy, Drama, Romance",1930
tt0020166,"Drama, Romance",1929
tt0020182,Adventure,1929
tt0020193,Drama,1929
tt0020197,Thriller,1929
tt0020198,"Adventure, Romance, Sci-Fi",1929
tt0020210,"Comedy, Drama",1929
tt0020217,"Crime, Drama, Music",1929
tt0020223,"Drama, War",1928
tt0020228,Comedy,1929
tt0020230,"Drama, History",1929
tt0020232,Drama,1929
