tt0005719,18-30,4.9
tt0005719,30-45,4.8
tt0005719,45+,6.1
tt0005809,0-18,
tt0005809,18-30,10.0
tt0005809,30-45,6.5
tt0005809,45+,4.5
tt0005916,0-18,
tt0005916,18-30,6.8
tt0005916,30-45,6.9
tt0005916,45+,7.1
tt0005951,0-18,8.0
tt0005951,18-30,7.0
tt0005951,30-45,6.8
tt0005951,45+,6.7
tt0005951,0-18,8.0
tt0005951,18-30,7.0
tt0005951,30-45,6.8
tt0005951,45+,6.7
tt0005951,0-18,8.0
tt0005951,18-30,7.0
tt0005951,30-45,6.8
tt0005951,45+,6.7
tt0005960,0-18,6.0
tt0005960,18-30,6.6
tt0005960,30-45,6.7
tt0005960,45+,7.0
tt0005960,0-18,6.0
tt0005960,18-30,6.6
tt0005960,30-45,6.7
tt0005960,45+,7.0
tt0005960,0-18,6.0
tt0005960,18-30,6.6
tt0005960,30-45,6.7
tt0005960,45+,7.0
tt0006206,0-18,6.5
tt0006206,18-30,7.1
tt0006206,30-45,7.3
tt0006206,45+,7.3
tt0006206,0-18,6.5
tt0006206,18-30,7.1
tt0006206,30-45,7.3
tt0006206,45+,7.3
tt0006206,0-18,6.5
tt0006206,18-30,7.1
tt0006206,30-45,7.3
tt0006206,45+,7.3
tt0006327,0-18,
tt0006327,18-30,5.1
tt0006327,30-45,5.5
tt0006327,45+,6.1
tt0006333,0-18,5.0
tt0006333,18-30,6.0
tt0006333,30-45,6.2
tt0006333,45+,6.2
tt0006333,0-18,5.0
tt0006333,18-30,6.0
tt0006333,30-45,6.2
tt0006333,45+,6.2
tt0006333,0-18,5.0
tt0006333,18-30,6.0
tt0006333,30-45,6.2
tt0006333,45+,6.2
tt0006509,0-18,
tt0006509,18-30,3.5
tt0006509,30-45,4.8
tt0006509,45+,4.5
tt0006517,0-18,4.0
tt0006517,18-30,5.8
tt0006517,30-45,5.9
tt0006517,45+,6.3
tt0006589,0-18,
tt0006589,18-30,6.7
tt0006589,30-45,6.7
tt0006589,45+,6.7
tt0006617,0-18,
tt0006617,18-30,6.1
tt0006617,30-45,6.0
tt0006617,45+,6.1
tt0006617,0-18,
tt0006617,18-30,6.1
tt0006617,30-45,6.0
tt0006617,45+,6.1
tt0006617,0-18,
tt0006617,18-30,6.1
tt0006617,30-45,6.0
tt0006617,45+,6.1
tt0006688,0-18,
tt0006688,18-30,6.3
tt0006688,30-45,6.1
tt0006688,45+,6.7
tt0006688,0-18,
tt0006688,18-30,6.3
tt0006688,30-45,6.1
tt0006688,45+,6.7
tt0006731,0-18,
tt0006731,18-30,5.4
tt0006731,30-45,5.5
tt0006731,45+,5.4
tt0006731,0-18,
tt0006731,18-30,5.4
tt0006731,30-45,5.5
tt0006731,45+,5.4
tt0006736,0-18,
tt0006736,18-30,6.9
tt0006736,30-45,6.0
tt0006736,45+,6.8
tt0006736,0-18,
tt0006736,18-30,6.9
tt0006736,30-45,6.0
tt0006736,45+,6.8
tt0006745,0-18,
tt0006745,18-30,5.2
tt0006745,30-45,6.1
tt0006745,45+,5.7
tt0006745,0-18,
tt0006745,18-30,5.2
tt0006745,30-45,6.1
tt0006745,45+,5.7
tt0006745,0-18,
tt0006745,18-30,5.2
tt0006745,30-45,6.1
tt0006745,45+,5.7
tt0006753,0-18,
tt0006753,18-30,6.0
tt0006753,30-45,6.6
tt0006753,45+,6.4
tt0006780,0-18,8.0
tt0006780,18-30,6.6
tt0006780,30-45,6.5
tt0006780,45+,6.9
tt0006780,0-18,8.0
tt0006780,18-30,6.6
tt0006780,30-45,6.5
tt0006780,45+,6.9
tt0006809,0-18,
tt0006809,18-30,5.8
tt0006809,30-45,6.1
tt0006809,45+,5.8
tt0006826,0-18,
tt0006826,18-30,5.1
tt0006826,30-45,5.6
tt0006826,45+,5.8
tt0006826,0-18,
tt0006826,18-30,5.1
tt0006826,30-45,5.6
tt0006826,45+,5.8
tt0006826,0-18,
tt0006826,18-30,5.1
tt0006826,30-45,5.6
tt0006826,45+,5.8
tt0006864,0-18,7.9
tt0006864,18-30,7.8
tt0006864,30-45,7.7
tt0006864,45+,7.8
tt0006864,0-18,7.9
tt0006864,18-30,7.8
tt0006864,30-45,7.7
tt0006864,45+,7.8
tt0006886,0-18,7.0
tt0006886,18-30,7.4
tt0006886,30-45,7.2
tt0006886,45+,7.6
tt0006886,0-18,7.0
tt0006886,18-30,7.4
tt0006886,30-45,7.2
tt0006886,45+,7.6
tt0007047,0-18,
tt0007047,18-30,6.0
tt0007047,30-45,6.0
tt0007047,45+,6.4
tt0007047,0-18,
tt0007047,18-30,6.0
tt0007047,30-45,6.0
tt0007047,45+,6.4
tt0007183,0-18,
tt0007183,18-30,6.9
tt0007183,30-45,6.8
tt0007183,45+,7.0
tt0007183,0-18,
tt0007183,18-30,6.9
tt0007183,30-45,6.8
tt0007183,45+,7.0
tt0007183,0-18,
tt0007183,18-30,6.9
tt0007183,30-45,6.8
tt0007183,45+,7.0
tt0007257,0-18,
tt0007257,18-30,4.2
tt0007257,30-45,4.7
tt0007257,45+,5.3
tt0007257,0-18,
tt0007257,18-30,4.2
tt0007257,30-45,4.7
tt0007257,45+,5.3
tt0007257,0-18,
tt0007257,18-30,4.2
tt0007257,30-45,4.7
tt0007257,45+,5.3
tt0007260,0-18,
tt0007260,18-30,6.6
tt0007260,30-45,6.1
tt0007260,45+,6.9
tt0007260,0-18,
tt0007260,18-30,6.6
tt0007260,30-45,6.1
tt0007260,45+,6.9
tt0007260,0-18,
tt0007260,18-30,6.6
tt0007260,30-45,6.1
tt0007260,45+,6.9
tt0007309,0-18,
tt0007309,18-30,5.7
tt0007309,30-45,5.4
tt0007309,45+,6.0
tt0007338,0-18,
tt0007338,18-30,6.4
tt0007338,30-45,6.2
tt0007338,45+,6.5
tt0007340,0-18,
tt0007340,18-30,7.3
tt0007340,30-45,6.7
tt0007340,45+,6.6
tt0007361,0-18,
tt0007361,18-30,6.2
tt0007361,30-45,6.1
tt0007361,45+,6.5
tt0007361,0-18,
tt0007361,18-30,6.2
tt0007361,30-45,6.1
tt0007361,45+,6.5
tt0007367,0-18,
tt0007367,18-30,5.1
tt0007367,30-45,5.5
tt0007367,45+,5.3
tt0007367,0-18,
tt0007367,18-30,5.1
tt0007367,30-45,5.5
tt0007367,45+,5.3
